model,projection,sequence,cp,m,n,k,p50_ms,p95_ms,pflops_per_gpu,algorithm,run_id
qwen25_72b,qkv_packed,524288,8,65536,10240,8192,7.361055850982666,7.394342398643493,1.4936873867479492,66,20260908-135227-2a9f00
qwen25_72b,o,65536,4,16384,8192,8192,1.5334879755973816,1.5599712014198304,1.4340009772136324,66,20260908-135227-2a9f00
qwen25_72b,o,65536,8,8192,8192,8192,0.7846879959106445,0.7938735961914063,1.4012086759400428,66,20260908-135227-2a9f00
qwen25_72b,o,131072,4,32768,8192,8192,2.9014240503311157,2.9232879757881163,1.515823414575366,66,20260908-135227-2a9f00
qwen25_72b,o,131072,8,16384,8192,8192,1.5334879755973816,1.5599712014198304,1.4340009772136324,66,20260908-135227-2a9f00
qwen25_72b,o,262144,4,65536,8192,8192,5.893696069717407,6.039785647392272,1.4924578597467035,66,20260908-135227-2a9f00
qwen25_72b,o,262144,8,32768,8192,8192,2.9014240503311157,2.9232879757881163,1.515823414575366,66,20260908-135227-2a9f00
qwen25_72b,o,524288,4,131072,8192,8192,11.89851188659668,11.972003269195557,1.4785198529097638,66,20260908-135227-2a9f00
qwen25_72b,o,524288,8,65536,8192,8192,5.893696069717407,6.039785647392272,1.4924578597467035,66,20260908-135227-2a9f00
qwen3_235b,qkv_packed,65536,4,16384,9216,4096,0.8585920035839081,0.8926783859729767,1.4406733070943583,66,20260908-135227-2a9f00
qwen3_235b,qkv_packed,65536,8,8192,9216,4096,0.4432799965143204,0.44968160092830656,1.39522490409517,66,20260908-135227-2a9f00
qwen3_235b,qkv_packed,131072,4,32768,9216,4096,1.6642560362815857,1.677591973543167,1.4864907253233632,66,20260908-135227-2a9f00
qwen3_235b,qkv_packed,131072,8,16384,9216,4096,0.8585920035839081,0.8926783859729767,1.4406733070943583,66,20260908-135227-2a9f00
qwen3_235b,qkv_packed,262144,4,65536,9216,4096,3.3139679431915283,3.3397535562515257,1.4930145402151964,66,20260908-135227-2a9f00
qwen3_235b,qkv_packed,262144,8,32768,9216,4096,1.6642560362815857,1.677591973543167,1.4864907253233632,66,20260908-135227-2a9f00
qwen3_235b,qkv_packed,524288,4,131072,9216,4096,6.704879999160767,6.760784077644348,1.4758809480889454,66,20260908-135227-2a9f00
qwen3_235b,qkv_packed,524288,8,65536,9216,4096,3.3139679431915283,3.3397535562515257,1.4930145402151964,66,20260908-135227-2a9f00
qwen3_235b,o,65536,4,16384,4096,8192,0.7641119956970215,0.7886143922805786,1.4389404092171432,66,20260908-135227-2a9f00
qwen3_235b,o,65536,8,8192,4096,8192,0.4191039949655533,0.4248879969120026,1.3117408101375534,66,20260908-135227-2a9f00
qwen3_235b,o,131072,4,32768,4096,8192,1.5545439720153809,1.5669568479061127,1.4145777122670176,66,20260908-135227-2a9f00
qwen3_235b,o,131072,8,16384,4096,8192,0.7641119956970215,0.7886143922805786,1.4389404092171432,66,20260908-135227-2a9f00
qwen3_235b,o,262144,4,65536,4096,8192,3.0799520015716553,3.1090047717094422,1.427959432114442,66,20260908-135227-2a9f00
qwen3_235b,o,262144,8,32768,4096,8192,1.5545439720153809,1.5669568479061127,1.4145777122670176,66,20260908-135227-2a9f00
