operator,models,sequence,cp,m,n,k,h,a,p50_ms,pflops,cublaslt_pflops,cublaslt_retention,before_prefetch_pflops,prefetch_gain_pct,comm_ctas,raster,swizzle,epilogue_n,weight_raster,weight_swizzle,weight_epilogue_n,m_window,n_group,run
qkv_forward,QwenDense,524288,4,131072,4096,2048,,,1.2874879837036133,1.7079951684102297,2.462269366000325,0.6936670666478186,,,48,along_m,8,32,,,,0,0,20260914-075848-809b4b
qkv_forward,QwenDense,131072,8,16384,4096,2048,,,0.23188000172376633,1.18543170993873,2.3831140703210747,0.49742969700943346,,,72,along_n,1,32,,,,0,0,20260914-075902-516479
qkv_forward,QwenDense,262144,8,32768,4096,2048,,,0.40403199940919876,1.360673943380445,2.36458181089442,0.5754395712220083,,,64,along_m,8,32,,,,0,0,20260914-075925-90396a
qkv_forward,QwenDense,524288,8,65536,4096,2048,,,0.7450640052556992,1.4757277495893224,2.6993274280734463,0.546702017043769,,,64,along_m,8,32,,,,0,0,20260914-075948-795eb6
qkv_forward,Qwen3 235B,131072,4,32768,9216,4096,,,1.2354000210762024,2.0025102155501773,2.634186113885322,0.7602007333477863,,,20,along_n,2,32,,,,0,0,20260914-080011-152a85
qkv_forward,Qwen3 235B,262144,4,65536,9216,4096,,,2.417255997657776,2.0468673279893492,2.6440284991980425,0.7741472259509239,,,20,along_n,2,32,,,,0,0,20260914-080027-ffdb62
qkv_forward,Qwen3 235B,524288,4,131072,9216,4096,,,4.7813040018081665,2.069645570798622,2.6132280176874176,0.791988129926052,,,20,along_n,2,32,,,,0,0,20260914-080042-037941
qkv_forward,Qwen2.5 72B / Llama 3.1 70B,131072,4,32768,10240,8192,,,2.4942320585250854,2.2041085231383293,2.8066177856170964,0.7853255026151371,,,20,along_m,8,32,,,,0,0,20260914-080058-4ebe0e
qkv_forward,Qwen2.5 72B / Llama 3.1 70B,262144,4,65536,10240,8192,,,5.103223919868469,2.1545431770987995,2.7616593762773993,0.7801625340207716,,,20,along_n,8,32,,,,0,0,20260914-080114-90a6ca
qkv_forward,Qwen2.5 72B / Llama 3.1 70B,524288,4,131072,10240,8192,,,10.228335857391357,2.1499325855270075,2.7567902882336557,0.7798680206844907,,,20,along_n,8,32,,,,0,0,20260914-080130-93a519
qkv_forward,Qwen2.5 72B / Llama 3.1 70B,131072,8,16384,10240,8192,,,1.3308000266551971,2.0655087273695956,2.827356907586433,0.7305440363144009,,,20,along_m,8,32,,,,0,0,20260914-080148-903591
qkv_forward,Qwen2.5 72B / Llama 3.1 70B,262144,8,32768,10240,8192,,,2.5510560274124146,2.155012700546714,2.8066177856170964,0.7678326245883486,,,20,along_n,8,32,,,,0,0,20260914-080211-a9cf14
qkv_forward,Qwen2.5 72B / Llama 3.1 70B,524288,8,65536,10240,8192,,,4.912031888961792,2.2384049058125988,2.7616593762773993,0.8105289613340637,,,20,along_m,8,32,,,,0,0,20260914-080239-4b4f41
qkv_forward,Llama 3.1 405B,131072,4,32768,18432,16384,,,8.639087915420532,2.290891063238428,2.702045697349937,0.8478357954809004,,,8,along_m,8,32,,,,0,0,20260914-080302-d4b8af
qkv_forward,Llama 3.1 405B,262144,4,65536,18432,16384,,,16.919976234436035,2.3393897279463487,2.706050522296923,0.8645033448823606,,,8,along_m,8,32,,,,0,0,20260914-080318-6f52be
qkv_forward,Llama 3.1 405B,524288,4,131072,18432,16384,,,33.2719030380249,2.379330004340245,2.7081048253610454,0.878595976809366,,,8,along_n,8,32,,,,0,0,20260914-080336-aaac0e
qkv_forward,Llama 3.1 405B,131072,8,16384,18432,16384,,,4.448007941246033,2.2247272893159264,2.694611355739248,0.8256208393754015,,,8,along_m,8,32,,,,0,0,20260914-080359-a15caa
qkv_forward,Llama 3.1 405B,262144,8,32768,18432,16384,,,8.799496173858643,2.249129826178379,2.702045697349937,0.8323803806812888,,,16,along_m,8,32,,,,0,0,20260914-080422-a21687
qkv_forward,Llama 3.1 405B,524288,8,65536,18432,16384,,,16.760831832885742,2.3616022757458226,2.706050522296923,0.8727118197857114,,,8,along_n,8,32,,,,0,0,20260914-080451-de1965
qkv_forward,Kimi K3 QKV-only,131072,4,32768,36864,7168,,,8.141231775283813,2.127111549636271,2.7424202001332354,0.7756329790500118,,,24,along_m,8,32,,,,0,0,20260914-080519-ffb526
qkv_forward,Kimi K3 QKV-only,262144,4,65536,36864,7168,,,15.895279884338379,2.178924594405506,2.718333656972638,0.801566278965231,,,20,along_m,8,32,,,,0,0,20260914-080535-924863
