model,aliases,global_seq,cp,m,n,k,result_source,comm_ctas,policy,tile_m,tile_n,tile_k,cluster_m,compute_ctas,compute_clusters,n_tiles,waves,last_wave_clusters,frontier_aligned,full_last_wave,fused_mean_ms,fused_p50_ms,fused_p95_ms,fused_p50_tflops_per_gpu,v2_auto_p50_ms,v2_over_v3_p50,v1_p50_ms,v1_over_v3_p50,te_ub_p50_ms,te_ub_p95_ms,te_ub_over_v3_p50,best_separated,best_separated_p50_ms,best_separated_over_v3_p50,cublas_p50_ms,cublas_p50_tflops_per_gpu,v3_throughput_as_cublas_percent,exact_mismatches,suite,q_heads,head_dim,native_max_context,beyond_native_context,fused_throughput_as_cublas_percent,fused_throughput_as_best_pure_percent,last_wave_ctas,cublaslt_p50_ms,cublaslt_p50_tflops_per_gpu,same_policy_p50_ms,compute_subgrid_p50_ms,route_p50_ms,sequential_p50_ms,overlap_ratio
representative_medium,tens-of-B median-like O-proj,262144,8,32768,5120,5120,v3_golden,8,m128n320_cluster_m2,128,320,64,2,124,62,16,34,2,False,False,2.731374731,2.733103991,2.748828888,628.5845412605086,2.733103991,1.0,3.567888021,1.305434419161843,3.012735962867737,3.0760112047195434,1.1023129645957686,cuBLASLt+NCCL,5.531264066696167,2.0238030038046095,2.447455883,701.9480638376843,89.5485825295844,0,artificial,40,128,,False,89.5485825295844,89.5485825295844,,,,,,,,
representative_medium,tens-of-B median-like O-proj,524288,4,131072,5120,5120,v3_golden,6,m128n320_cluster_m2,128,320,64,2,126,63,16,131,2,False,False,9.562650871,9.511631966,9.666193962,722.4782979581487,9.511631966,1.0,10.81324768,1.136844625470447,11.256192207336426,11.372284889221191,1.1834133456353737,cuBLASLt+NCCL,18.073023796081543,1.9000970454581132,9.372768402,733.1822764481874,98.540065842577,0,artificial,40,128,,False,98.540065842577,98.540065842577,,,,,,,,
representative_medium,tens-of-B median-like O-proj,524288,8,65536,5120,5120,v3_golden,8,m128n320_cluster_m2,128,320,64,2,124,62,16,67,4,False,False,5.349253111,5.352848053,5.378229141,641.8963891333158,5.352848053,1.0,7.107279778,1.3277566834755807,6.004479885101318,6.149176025390625,1.1217355369794426,cuBLASLt+NCCL,7.9599199295043945,1.4870438784533149,4.950160027,694.1136888623662,92.47712578401486,0,artificial,40,128,,False,92.47712578401486,92.47712578401486,,,,,,,,
representative_large,wide-K stress shape; not one specific GQA checkpoint,1024,4,256,7168,16384,v3_golden,16,m128n128,128,128,64,1,116,116,56,1,112,True,False,0.1167,0.1156,0.1258,520.151748650519,0.1345120072,1.1635986782006922,0.1339039952,1.1583390588235294,0.12019199877977371,0.12169279865920543,1.0397231728354128,TE+NCCL,0.19547200202941895,1.6909342736108905,0.09651199728,623.0266064181902,83.48788692041522,0,artificial,128,128,,False,83.48788692041522,83.48788692041522,,,,,,,,
representative_large,wide-K stress shape; not one specific GQA checkpoint,1024,8,128,7168,16384,v3_golden,4,m64n128,64,128,64,1,128,128,56,1,112,True,False,0.1115244798,0.1116960049,0.1152879968,269.16603775503523,0.1116960049,1.0,0.108160004,0.9683426376514922,0.11585600301623344,0.11693439967930316,1.0372439293594953,cuBLASLt+NCCL,0.15195199847221375,1.3604067451495192,0.09385599941,320.32870845757265,84.02807199239406,0,artificial,128,128,,False,84.02807199239406,84.02807199239406,,,,,,,,
representative_large,wide-K stress shape; not one specific GQA checkpoint,4096,4,1024,7168,16384,v3_golden,4,m128n256_cluster_m2,128,256,64,2,128,64,28,2,48,False,False,0.3856486392,0.3851519823,0.3918463886,624.4759981234038,0.3851519823,1.0,0.3822880089,0.9925640434643558,0.38940800726413727,0.3922735959291458,1.0110502481091275,cuBLASLt+NCCL,0.6441279947757721,1.6723995315544093,0.338447988,710.6503129101184,87.8738792875739,0,artificial,128,128,,False,87.8738792875739,87.8738792875739,,,,,,,,
representative_large,wide-K stress shape; not one specific GQA checkpoint,4096,8,512,7168,16384,v3_golden,20,m128n128,128,128,64,1,112,112,56,2,112,True,True,0.2366,0.2365,0.2391,508.49507098520087,0.2630720139,1.1123552384778013,0.2650880218,1.1208795847780129,0.25065600872039795,0.25299201160669327,1.059856273659188,TE+NCCL,0.41363200545310974,1.7489725389137833,0.1962720007,612.7164539980154,82.99027513742072,0,artificial,128,128,,False,82.99027513742072,82.99027513742072,,,,,,,,
representative_large,wide-K stress shape; not one specific GQA checkpoint,16384,4,4096,7168,16384,v3_golden,4,m128n256_cluster_m2,128,256,64,2,128,64,28,7,64,False,True,1.471545594,1.479984045,1.540715218,650.0561121278845,1.479984045,1.0,1.494767904,1.009989201606562,1.502415955066681,1.5777375757694245,1.0151568593880895,TE+NCCL,2.1431679725646973,1.4481020790766008,1.206655979,797.304858259025,81.53168833654554,0,artificial,128,128,,False,81.53168833654554,81.53168833654554,,,,,,,,
representative_large,wide-K stress shape; not one specific GQA checkpoint,16384,8,2048,7168,16384,v3_golden,4,m128n320_cluster_m2,128,320,64,2,128,64,23,3,56,False,False,0.8004876792,0.800639987,0.8103663921,600.8147793797364,0.800639987,1.0,0.8355200291,1.043565201171997,0.8546399772167206,0.871246388554573,1.0674460320412658,TE+NCCL,1.3761919736862183,1.718864903116834,0.6934880018,693.6476707649363,86.61670826590878,0,artificial,128,128,,False,86.61670826590878,86.61670826590878,,,,,,,,
representative_large,wide-K stress shape; not one specific GQA checkpoint,131072,4,32768,7168,16384,v3_golden,6,m128n320_cluster_m2,128,320,64,2,126,63,23,47,46,False,False,11.14029448,11.14926434,11.17914295,690.3219046317813,11.14926434,1.0,11.55270386,1.0361853040431186,12.467679977416992,15.839716482162475,1.11825135696953,cuBLASLt+NCCL,17.81702423095703,1.5980448294723122,10.1873436,755.5042508266827,91.3723389215113,0,artificial,128,128,,False,91.3723389215113,91.3723389215113,,,,,,,,
