model,sequence,cp,m,n,k,auto_pflops,manual_same_run_pflops,manual_saved_pflops,pure_cublaslt_pflops,auto_over_manual_same_run,auto_over_manual_saved,auto_over_pure_cublaslt,epilogue_n,raster,swizzle,auto_comm_ctas,manual_comm_ctas,auto_run_id,manual_saved_run_id
Llama 3.1 70B,131072,4,32768,10240,8192,1.9192810855860742,2.087418180118789,2.096601736582421,2.8066177856170964,0.9194521269700033,0.9154247333185036,0.6838412752251829,32,along_m,8,16,32,20260911-210302-062060,20260911-150357-b496c1
Qwen2.5 72B,262144,4,65536,10240,8192,1.9712084037101882,2.0938483968834714,2.0586651568883254,2.7616593762773993,0.9414284275041961,0.9575177377022652,0.7137768041355246,32,along_n,8,16,28,20260911-210710-bb4d38,20260911-150518-b7831e
Llama 3.1 70B,262144,4,65536,10240,8192,1.9712084037101882,2.0938483968834714,2.0586651568883254,2.7616593762773993,0.9414284275041961,0.9575177377022652,0.7137768041355246,32,along_n,8,16,28,20260911-210710-bb4d38,20260911-150518-b7831e
Qwen2.5 72B,524288,4,131072,10240,8192,2.1061116966562414,2.1409971479100727,2.1431805358573532,2.7567902882336557,0.9837059795769066,0.9827038186560038,0.7639724013993389,32,along_n,8,16,28,20260911-211136-9028ad,20260911-150638-8e8fd9
Llama 3.1 70B,524288,4,131072,10240,8192,2.1061116966562414,2.1409971479100727,2.1431805358573532,2.7567902882336557,0.9837059795769066,0.9827038186560038,0.7639724013993389,32,along_n,8,16,28,20260911-211136-9028ad,20260911-150638-8e8fd9
Qwen2.5 72B,131072,8,16384,10240,8192,1.8281123674423794,1.8793065695231794,1.8846048110335956,2.827356907586433,0.972758993710223,0.9700242495081856,0.646579978119191,32,along_m,8,32,32,20260911-210042-cf8bd1,20260911-150000-441369
Llama 3.1 70B,131072,8,16384,10240,8192,1.8281123674423794,1.8793065695231794,1.8846048110335956,2.827356907586433,0.972758993710223,0.9700242495081856,0.646579978119191,32,along_m,8,32,32,20260911-210042-cf8bd1,20260911-150000-441369
Qwen2.5 72B,262144,8,32768,10240,8192,1.8282971794246539,1.9950262057211003,2.0003806787666076,2.8066177856170964,0.9164276510161518,0.9139746243459735,0.651423641934437,32,along_n,8,16,28,20260911-210444-26491e,20260911-145745-be6d15
Llama 3.1 70B,262144,8,32768,10240,8192,1.8282971794246539,1.9950262057211003,2.0003806787666076,2.8066177856170964,0.9164276510161518,0.9139746243459735,0.651423641934437,32,along_n,8,16,28,20260911-210444-26491e,20260911-145745-be6d15
Qwen2.5 72B,524288,8,65536,10240,8192,1.9711404950076734,2.09475477955356,2.1088650010105536,2.7616593762773993,0.9409886609389995,0.9346925924908026,0.7137522143171356,32,along_m,8,16,24,20260911-210907-4bf071,20260911-150145-90575b
Llama 3.1 70B,524288,8,65536,10240,8192,1.9711404950076734,2.09475477955356,2.1088650010105536,2.7616593762773993,0.9409886609389995,0.9346925924908026,0.7137522143171356,32,along_m,8,16,24,20260911-210907-4bf071,20260911-150145-90575b
Llama 3.1 405B,131072,4,32768,18432,16384,2.0513889515905124,2.052927781061055,2.034832986573026,2.702045697349937,0.9992504220144816,1.0081362770933693,0.7591984671474787,32,along_m,8,16,16,20260911-210320-85be63,20260911-150412-f32326
Llama 3.1 405B,262144,4,65536,18432,16384,2.0942316089770125,2.0948008963745126,2.077311299587447,2.706050522296923,0.9997282379444818,1.0081452930973445,0.7739070618679387,32,along_m,8,16,16,20260911-210727-d3133e,20260911-150532-2078c8
Llama 3.1 405B,524288,4,131072,18432,16384,2.1454638641327963,2.1458807155825026,2.1491523694659618,2.7081048253610454,0.9998057434196229,0.9982837394939652,0.7922381157630272,32,along_n,8,16,16,20260911-211154-ed9977,20260911-150652-749ba2
