model,aliases,global_seq,cp,m,n,k,result_source,comm_ctas,policy,tile_m,tile_n,tile_k,cluster_m,compute_ctas,compute_clusters,n_tiles,waves,last_wave_clusters,frontier_aligned,full_last_wave,fused_mean_ms,fused_p50_ms,fused_p95_ms,fused_p50_tflops_per_gpu,v2_auto_p50_ms,v2_over_v3_p50,v1_p50_ms,v1_over_v3_p50,te_ub_p50_ms,te_ub_p95_ms,te_ub_over_v3_p50,best_separated,best_separated_p50_ms,best_separated_over_v3_p50,cublas_p50_ms,cublas_p50_tflops_per_gpu,v3_throughput_as_cublas_percent,exact_mismatches
representative_medium,tens-of-B median-like O-proj,131072,4,32768,5120,5120,v2_auto_inherited,6,m128n320_cluster_m2,128,320,64,2,126,63,16,33,32,false,false,2.321507206,2.364448071,2.397958279,726.5910972929124,2.364448071,1.0,2.722048044,1.1512403581140016,2.7995519638061523,2.838547241687775,1.184019221290038,TE+NCCL,3.7832798957824707,1.600068930328591,2.1947999,782.7533245285823,92.82504136670464,0
representative_large,hundreds-of-B median-like O-proj,131072,4,32768,7168,16384,v2_auto_inherited,6,m128n320_cluster_m2,128,320,64,2,126,63,23,47,46,false,false,11.14029448,11.14926434,11.17914295,690.3219046317813,11.14926434,1.0,11.55270386,1.0361853040431186,12.467679977416992,15.839716482162475,1.11825135696953,cuBLASLt+NCCL,17.81702423095703,1.5980448294723122,10.1873436,755.5042508266827,91.3723389215113,0
representative_small,single-digit-B median-like O-proj,262144,4,65536,4096,4096,v2_auto_inherited,8,m128n320_cluster_m2,128,320,64,2,124,62,13,54,42,false,false,3.145738239,3.190351963,3.203927994,689.2729332233868,3.190351963,1.0,4.359824181,1.3665652666423374,3.6769120693206787,3.7016080260276794,1.152509852192969,cuBLASLt+NCCL,6.406031847000122,2.007938911221665,2.951904058,744.950788489346,92.52596867789538,0
representative_medium,tens-of-B median-like O-proj,262144,4,65536,5120,5120,v2_auto_inherited,6,m128n320_cluster_m2,128,320,64,2,126,63,16,66,1,false,false,4.765218601,4.788831711,4.801460743,717.4973029241203,4.788831711,1.0,5.435472012,1.1350309094209052,5.719760179519653,5.797926449775696,1.1943957367266216,TE+NCCL,7.2122719287872314,1.5060608440719605,4.386127949,783.3729149609904,91.5907723156154,0
representative_large,hundreds-of-B median-like O-proj,262144,4,65536,7168,16384,v2_auto_inherited,6,m128n320_cluster_m2,128,320,64,2,126,63,23,94,29,false,false,23.25918152,22.55342484,27.82769203,682.5199675023724,22.55342484,1.0,23.42764664,1.0387622636562721,24.551295280456543,28.789139461517333,1.0885839048672192,cuBLASLt+NCCL,32.126991271972656,1.4244839309280113,20.5291214,749.820827152593,91.02440780342255,0
representative_small,single-digit-B median-like O-proj,524288,4,131072,4096,4096,v2_auto_inherited,8,m128n320_cluster_m2,128,320,64,2,124,62,13,108,22,false,false,6.363459196,6.369456291,6.469401836,690.4900999663678,6.369456291,1.0,8.638975143,1.3563128072967257,7.515007972717285,7.560009527206422,1.1798507799379898,cuBLASLt+NCCL,12.64518404006958,1.9852846871619392,5.88977623,746.7255697597191,92.46905796845196,0
representative_medium,tens-of-B median-like O-proj,524288,4,131072,5120,5120,v2_auto_inherited,6,m128n320_cluster_m2,128,320,64,2,126,63,16,131,2,false,false,9.562650871,9.511631966,9.666193962,722.4782979581487,9.511631966,1.0,10.81324768,1.136844625470447,11.256192207336426,11.372284889221191,1.1834133456353737,cuBLASLt+NCCL,18.073023796081543,1.9000970454581132,9.372768402,733.1822764481874,98.540065842577,0
representative_large,hundreds-of-B median-like O-proj,524288,4,131072,7168,16384,v2_auto_inherited,6,m128n320_cluster_m2,128,320,64,2,126,63,23,187,58,false,false,46.83772476,45.87843323,50.72131729,671.0413457972396,45.87843323,1.0,47.11523438,1.0269582255304928,49.46041488647461,52.5919132232666,1.0780755009334613,cuBLASLt+NCCL,61.40481758117676,1.3384244678395867,41.69548798,738.3610809998247,90.88254555461855,0
representative_small,single-digit-B median-like O-proj,1024,8,128,4096,4096,v2_auto_inherited,4,m64n128,64,128,64,1,128,128,32,1,64,true,false,0.03195455998,0.03206399828,0.03261119872,133.94983552874618,0.03206399828,1.0,0.03209599853,1.0009980118424584,0.05814399942755699,0.05961599946022034,1.8133733329141444,TE+NCCL,0.06758400052785873,2.10778456066767,0.02257600054,190.24482606607876,70.40918709779821,0
representative_medium,tens-of-B median-like O-proj,1024,8,128,5120,5120,v2_auto_inherited,4,m64n128,64,128,64,1,128,128,40,1,80,true,false,0.03816575997,0.03806399927,0.03975680098,176.30534175869323,0.03806399927,1.0,0.03875200078,1.0180748613701829,0.06361600011587143,0.0661040000617504,1.6712904932722121,cuBLASLt+NCCL,0.059887999668717384,1.5733501685913989,0.02800000086,239.674506924283,73.56032313206798,0
