models,ep,h,f,experts,topk,target_rows,cohort,status,pflops,ms,reference_backend,reference_pflops,retention_pct,historical_gain_pct,tile_n,tile_k,along_n,swizzle,comm,compute,buffer_rows,tail_balance,run,case_index,reference_run,reference_case
"glm45_air","4","4096","1408","128","8","8192","release_equivalent","valid","1.1438324297864524","5.286888005","deepgemm_m256","1.399709002081369","81.71930223250492","164.0497772375263","256","64","1","4","20","128","0","true","20260917-004236-2edc7e","31","20260916-134013-d36947","14"
"glm47_flash","4","2048","1536","64","4","192","release_equivalent","valid","0.36209818450639203","0.10675200075","deepgemm_m256","0.7532093910064989","48.07404007835422","52.697841122195555","256","64","1","4","20","128","0","true","20260917-004345-454b80","0","20260916-134352-7f8681","7"
"glm47_flash","4","2048","1536","64","4","256","release_equivalent","valid","0.4289533939961889","0.1201519985","deepgemm_m256","1.0034970337295503","42.745855700435975","46.60097414026785","256","64","1","4","20","128","0","true","20260917-004345-454b80","1","20260916-134352-7f8681","8"
"glm47_flash","4","2048","1536","64","4","384","release_equivalent","valid","0.6088505542726339","0.1269760055","deepgemm_m128","1.214945483785888","50.11340528427633","75.07559252996035","256","64","1","4","20","128","0","true","20260917-004345-454b80","2","20260916-134352-7f8681","9"
"glm47_flash","4","2048","1536","64","4","512","release_equivalent","valid","0.7091305362509269","0.1453600005","deepgemm_m256","1.3222064940648484","53.6323591991182","89.17446412639491","256","64","1","4","20","128","0","true","20260917-004345-454b80","3","20260916-134352-7f8681","10"
"glm47_flash","4","2048","1536","64","4","1024","release_equivalent","valid","0.8045018465123293","0.25625600625","deepgemm_m256","1.5978301076220711","50.349648731404116","25.11863182914176","256","64","1","4","40","108","0","true","20260917-004345-454b80","4","20260916-134352-7f8681","11"
"glm47_flash","4","2048","1536","64","4","2048","release_equivalent","valid","0.9900800655513298","0.41644799725","deepgemm_m256","1.6304842661785912","60.723067746725725","131.22214931002407","256","64","1","4","20","128","0","true","20260917-004345-454b80","5","20260916-134352-7f8681","12"
"glm47_flash","4","2048","1536","64","4","4096","release_equivalent","valid","1.0338005254298834","0.7976719885000001","deepgemm_m256","1.6989025899246541","60.85107713419474","27.35861665524686","256","64","1","4","40","108","0","true","20260917-004345-454b80","6","20260916-134352-7f8681","13"
"glm47_flash","4","2048","1536","64","4","8192","release_equivalent","valid","1.1645461027718809","1.4162319875","deepgemm_m256","1.5666725215529353","74.332452171788","157.44425946317642","256","64","1","4","20","128","0","true","20260917-004345-454b80","7","20260916-134352-7f8681","14"
"qwen35_397b","4","4096","1024","512","10","192","release_equivalent","valid","0.4821805772628478","0.8552479895","deepgemm_m256","0.977472635260628","49.329317248281","22.98093774121641","256","64","0","2","40","108","0","true","20260917-004345-454b80","8","20260916-134559-3bb88d","7"
"qwen35_397b","4","4096","1024","512","10","256","release_equivalent","valid","0.7530123499967705","0.7301199885","deepgemm_m256","1.2718127048302803","59.20780215018042","42.79516126409953","256","64","0","2","40","108","0","true","20260917-004345-454b80","9","20260916-134559-3bb88d","8"
"qwen35_397b","4","4096","1024","512","10","384","release_equivalent","valid","0.814286433410559","1.0128720125","deepgemm_m128","1.345531808491547","60.51781372031938","46.50854295374263","256","64","0","1","40","108","0","true","20260917-004345-454b80","10","20260916-134559-3bb88d","9"
"qwen35_397b","4","4096","1024","512","10","512","release_equivalent","valid","0.8947462420887251","1.22892803","deepgemm_m128","1.3258543620597438","67.48450415766007","57.24663957742098","256","64","0","1","40","108","0","true","20260917-004345-454b80","11","20260916-134559-3bb88d","10"
"qwen35_397b","4","4096","1024","512","10","1024","release_equivalent","valid","0.9878242094152176","2.2262639975000003","deepgemm_m256","1.3167472048237683","75.02003465786181","68.163705616409","256","64","0","1","40","108","0","true","20260917-004345-454b80","12","20260916-134559-3bb88d","11"
"qwen35_397b","4","4096","1024","512","10","2048","release_equivalent","valid","1.040321661850437","4.2276800875","deepgemm_m256","1.364402880902013","76.24739557590757","73.44547761976332","256","64","0","1","40","108","0","true","20260917-004345-454b80","13","20260916-134559-3bb88d","12"
"qwen35_397b","4","4096","1024","512","10","4096","release_equivalent","valid","1.0092773498180974","8.715271949999998","deepgemm_m256","1.3678836455694645","73.78385969355782","67.64888300473517","256","64","0","1","40","108","0","true","20260917-004345-454b80","14","20260916-134559-3bb88d","13"
"qwen35_397b","4","4096","1024","512","10","8192","release_equivalent","insufficient_memory","","","cutlass_stock","1.2928802937072799","","","256","64","0","1","40","108","0","true","20260917-004345-454b80","15","20260916-134559-3bb88d","14"
"qwen35_122b","4","3072","1024","256","8","192","release_equivalent","valid","0.43950775514418383","0.35179998725","deepgemm_m256","0.9551918993624342","46.012508631777955","27.440595224183006","256","64","0","2","40","108","0","true","20260917-004345-454b80","16","20260916-135332-a490d3","7"
"qwen35_122b","4","3072","1024","256","8","256","release_equivalent","valid","0.6556034372676061","0.3144559935","deepgemm_m256","1.2655831340732737","51.80247900092895","39.1075404959645","256","64","0","2","40","108","0","true","20260917-004345-454b80","17","20260916-135332-a490d3","8"
"qwen35_122b","4","3072","1024","256","8","384","release_equivalent","valid","0.7542970381605733","0.40996799625","deepgemm_m128","1.4108586410230435","53.46368631329476","44.395661957722886","256","64","0","8","40","108","0","true","20260917-004345-454b80","18","20260916-135332-a490d3","9"
"qwen35_122b","4","3072","1024","256","8","512","release_equivalent","valid","0.8413393597873031","0.49007199725","deepgemm_m256","1.5362487590191738","54.76582844073123","55.064563424206135","256","64","0","8","40","108","0","true","20260917-004345-454b80","19","20260916-135332-a490d3","10"
"qwen35_122b","4","3072","1024","256","8","1024","release_equivalent","valid","0.9428867929405876","0.874584019","deepgemm_m256","1.620385697523842","58.189034523165695","64.50884063089654","256","64","0","8","40","108","0","true","20260917-004345-454b80","20","20260916-135332-a490d3","11"
"qwen35_122b","4","3072","1024","256","8","2048","release_equivalent","valid","1.0218408079990395","1.6140160275","deepgemm_m256","1.6795120595628548","60.84152847732486","74.34969492581449","256","64","0","8","40","108","0","true","20260917-004345-454b80","21","20260916-135332-a490d3","12"
"qwen35_122b","4","3072","1024","256","8","4096","release_equivalent","valid","1.058571712591612","3.11602402","deepgemm_m256","1.4017898403237488","75.51572155403345","77.80119759795687","256","64","0","8","40","108","0","true","20260917-004345-454b80","22","20260916-135332-a490d3","13"
"qwen35_122b","4","3072","1024","256","8","8192","release_equivalent","valid","1.0438969701827987","6.319656015","deepgemm_m256","1.4119618498397921","73.93237786851282","74.30467257797415","256","64","0","8","40","108","0","true","20260917-004345-454b80","23","20260916-135332-a490d3","14"
"qwen3_235b","4","4096","1536","128","8","192","release_equivalent","valid","0.4707444007458295","0.32845599950000004","deepgemm_m256","0.8988630164261359","52.37109460988854","56.85754158373955","128","64","0","4","20","128","0","true","20260917-004345-454b80","24","20260916-135731-c2fd3e","7"
"qwen3_235b","4","4096","1536","128","8","256","release_equivalent","valid","0.706680305460466","0.29172799725","deepgemm_m256","1.1973702839954699","59.01936225629094","72.1795611785423","128","64","0","4","20","128","0","true","20260917-004345-454b80","25","20260916-135731-c2fd3e","8"
"qwen3_235b","4","4096","1536","128","8","384","release_equivalent","valid","0.8873288092031382","0.34850400675000004","deepgemm_m128","1.383787013760299","64.12322130353813","110.08653783576618","256","64","1","4","20","128","0","true","20260917-004345-454b80","26","20260916-135731-c2fd3e","9"
