model,suite,aliases,global_seq,cp,m,n,k,q_heads,kv_heads,head_dim,max_context,within_native_context,result_source,comm_sm,streams,push,use_ce,pack_block,pack_warps,reverse,local_first,math_sm,p50_ms,p95_ms,p50_tflops_per_gpu,correctness_scope,max_abs,remote_recv_mismatches,post_graph_max_abs
artificial_large,artificial,OProj-matched Mx7168x16384 stress shape,131072,4,32768,7168,16384,40,8,128,,True,adapted_te_userbuffers_formal_10w50i,4,1,False,False,512,4,False,False,128,11.977071762084961,12.097201585769653,642.6096083682631,same_head_geometry_s1k,,,
artificial_large,artificial,OProj-matched Mx7168x16384 stress shape,131072,8,16384,7168,16384,40,8,128,,True,adapted_te_userbuffers_formal_10w50i,8,1,True,True,512,4,False,False,124,6.561919927597046,6.74793267250061,586.4580396709034,same_head_geometry_s1k,,,
artificial_large,artificial,OProj-matched Mx7168x16384 stress shape,262144,4,65536,7168,16384,40,8,128,,True,adapted_te_userbuffers_formal_10w50i,4,1,True,True,512,4,False,False,128,24.27854347229004,27.76671962738037,634.0233221335028,same_head_geometry_s1k,,,
artificial_large,artificial,OProj-matched Mx7168x16384 stress shape,262144,8,32768,7168,16384,40,8,128,,True,adapted_te_userbuffers_formal_10w50i,4,1,True,True,512,4,False,False,128,13.150559902191162,18.716532993316648,585.2664412524052,same_head_geometry_s1k,,,
artificial_large,artificial,OProj-matched Mx7168x16384 stress shape,524288,4,131072,7168,16384,40,8,128,,True,adapted_te_userbuffers_formal_10w50i,8,1,True,False,512,4,False,False,124,50.854047775268555,53.94445838928223,605.3859412288527,same_head_geometry_s1k,,,
artificial_large,artificial,OProj-matched Mx7168x16384 stress shape,524288,8,65536,7168,16384,40,8,128,,True,adapted_te_userbuffers_formal_10w50i,4,1,True,True,512,4,False,False,128,25.42089557647705,32.96321582794189,605.5318839005773,same_head_geometry_s1k,,,
production_qwen_dense,model,current production Qwen dense,1024,4,256,4096,2048,16,8,128,,True,adapted_te_userbuffers_formal_10w50i,8,1,True,False,1024,4,False,False,124,0.037776000797748566,0.039532799273729324,113.69565875951534,exact,0.0,0,0.0
production_qwen_dense,model,current production Qwen dense,1024,8,128,4096,2048,16,8,128,,True,adapted_te_userbuffers_formal_10w50i,8,1,True,False,512,4,False,False,124,0.06865600124001503,0.07048959955573081,31.27889200089874,exact,0.0,0,0.0
production_qwen_dense,model,current production Qwen dense,4096,4,1024,4096,2048,16,8,128,,True,adapted_te_userbuffers_formal_10w50i,8,1,True,False,1024,4,False,False,124,0.06945599988102913,0.07461920194327831,247.3489578067744,same_head_geometry_s1k,,,
production_qwen_dense,model,current production Qwen dense,4096,8,512,4096,2048,16,8,128,,True,adapted_te_userbuffers_formal_10w50i,8,1,True,False,512,4,False,False,124,0.08336000144481659,0.08443360216915607,103.04623852107828,same_head_geometry_s1k,,,
production_qwen_dense,model,current production Qwen dense,16384,4,4096,4096,2048,16,8,128,,True,adapted_te_userbuffers_formal_10w50i,8,1,True,False,1024,4,False,False,124,0.19222399592399597,0.201145601272583,357.49686924191917,same_head_geometry_s1k,,,
production_qwen_dense,model,current production Qwen dense,16384,8,2048,4096,2048,16,8,128,,True,adapted_te_userbuffers_formal_10w50i,8,3,True,False,512,4,False,False,124,0.16526399552822113,0.16996159702539443,207.90819112280627,same_head_geometry_s1k,,,
production_qwen_dense,model,current production Qwen dense,131072,4,32768,4096,2048,16,8,128,,True,adapted_te_userbuffers_formal_10w50i,16,1,True,True,512,4,False,False,116,1.2611519694328308,1.2679839730262756,435.91559717837805,same_head_geometry_s1k,,,
production_qwen_dense,model,current production Qwen dense,131072,8,16384,4096,2048,16,8,128,,True,adapted_te_userbuffers_formal_10w50i,12,1,True,True,512,4,False,False,120,0.8418720066547394,0.9554784029722212,326.5079546191994,same_head_geometry_s1k,,,
production_qwen_dense,model,current production Qwen dense,262144,4,65536,4096,2048,16,8,128,,True,adapted_te_userbuffers_formal_10w50i,12,1,True,True,512,4,False,False,120,2.5018399953842163,2.5765984058380127,439.48119376321034,same_head_geometry_s1k,,,
production_qwen_dense,model,current production Qwen dense,262144,8,32768,4096,2048,16,8,128,,True,adapted_te_userbuffers_formal_10w50i,12,1,True,True,512,4,False,False,120,1.540448009967804,1.610094428062439,356.88047264866157,same_head_geometry_s1k,,,
production_qwen_dense,model,current production Qwen dense,524288,4,131072,4096,2048,16,8,128,,True,adapted_te_userbuffers_formal_10w50i,12,1,True,True,512,4,False,False,120,5.136559963226318,5.216576099395752,428.1120577381081,same_head_geometry_s1k,,,
production_qwen_dense,model,current production Qwen dense,524288,8,65536,4096,2048,16,8,128,,True,adapted_te_userbuffers_formal_10w50i,12,1,True,True,512,4,False,False,120,2.9404799938201904,2.9789519906044006,373.92249907728325,same_head_geometry_s1k,,,
nanbeige42_3b,model,Nanbeige/Nanbeige4.2-3B,1024,4,256,8192,3072,48,8,128,262144,True,adapted_te_userbuffers_formal_10w50i,8,1,True,False,512,4,False,False,124,0.05825600028038025,0.05910240095108747,221.17724914148357,exact,0.0,0,0.0
nanbeige42_3b,model,Nanbeige/Nanbeige4.2-3B,1024,8,128,8192,3072,48,8,128,262144,True,adapted_te_userbuffers_formal_10w50i,20,1,False,False,512,4,False,False,112,0.09542399644851685,0.09664639830589294,67.51395019884575,exact,0.0,0,0.0
