model,seq,cp,node,tile,comm_ctas,old_ms,new_ms,old_p,new_p,ratio,gain,before_run,after_run
production_qwen_dense,16384,4,0a,m128n256k64e32,24,0.0804160013794899,0.07944000139832497,0.8545497855794519,0.8650487855788103,1.0122860015607391,1.2286001560739113,20260907-215459-233819,20260907-215513-4acfe6
production_qwen_dense,16384,8,0a,m128n256k64e32,24,0.05950399860739708,0.060208000242710114,0.5774357887224181,0.570683932857581,0.9883071745868478,-1.1692825413152197,20260907-215550-dfe9bf,20260907-215527-96f9a4
production_qwen_dense,131072,4,0a,m128n256k64e32,24,0.4891360104084015,0.48502400517463684,1.1239324077345774,1.133461041150027,1.0084779416892657,0.8477941689265744,20260907-214636-aaf0ce,20260907-214650-b4ba35
production_qwen_dense,131072,8,09,m128n256k64e32,32,0.2727520018815994,0.2632320076227188,1.0077942784937777,1.04424195760408,1.0361657928488897,3.6165792848889655,20260907-212701-d2457b,20260907-212840-072546
production_qwen_dense,262144,4,0a,m128n256k64e32,32,0.9990880191326141,1.008687973022461,1.100515276652573,1.090041377693235,0.9904827318788374,-0.9517268121162603,20260907-214025-6e38a2,20260907-214039-aa729d
production_qwen_dense,262144,8,09,m128n256k64e32,32,0.5232959985733032,0.5140959918498993,1.0505637638866645,1.0693641316085427,1.017895503698247,1.7895503698247106,20260907-212929-9aab23,20260907-212905-d537f6
production_qwen_dense,524288,4,09,m128n256k64e32,24,1.9936000108718872,1.974240005016327,1.1030413541130912,1.1138581175361273,1.0098063081521844,0.9806308152184418,20260907-220924-65301e,20260907-220940-413120
production_qwen_dense,524288,8,09,m128n256k64e32,32,1.0414239764213562,1.0125759840011597,1.0557771404056302,1.0858559210848722,1.0284897063292027,2.848970632920267,20260907-212951-8ae8c5,20260907-213013-f67a9e
nanbeige42_3b,1024,4,09,m128n256k64e32,16,0.04081600159406662,0.040383998304605484,0.3156826093880069,0.3190595886720453,1.010697387767369,1.069738776736906,20260907-215707-1dc1f5,20260907-215723-131a3c
nanbeige42_3b,1024,8,0a,m128n256k64e32,32,0.038176000118255615,0.03803199902176857,0.16875657282176204,0.16939553822328668,1.0037863141615202,0.3786314161520199,20260907-221028-6071bf,20260907-221051-eb75ce
nanbeige42_3b,4096,4,09,m128n256k64e32,24,0.07379200309515,0.07494399696588516,0.6984443488482488,0.6877082840332236,0.984628603792515,-1.5371396207484955,20260907-214611-b3cf4f,20260907-214627-14764b
nanbeige42_3b,4096,8,0a,m128n256k64e32,24,0.05097600072622299,0.05209600180387497,0.5055281585231055,0.4946599140758477,0.978501208559758,-2.1498791440242027,20260907-220914-6ea5e2,20260907-220937-dcd9a0
nanbeige42_3b,16384,4,0a,m128n256k64e32,24,0.18164800107479095,0.18428799510002136,1.1349336573382782,1.1186753108693193,0.9856746283240123,-1.4325371675987686,20260907-215345-04e8c0,20260907-215359-549885
nanbeige42_3b,16384,8,0a,m128n256k64e32,24,0.12078399956226349,0.10886400192975998,0.8534177993573,0.9468622618752122,1.1094943913617505,10.949439136175055,20260907-215436-970b10,20260907-215413-e21031
nanbeige42_3b,131072,4,0a,m128n256k64e32,24,1.406063973903656,1.3951839804649353,1.1729675692387866,1.1821146635545465,1.0077982499735232,0.7798249973523186,20260907-214522-08fa6e,20260907-214536-c1a198
nanbeige42_3b,131072,8,0a,m128n256k64e32,24,0.7945760190486908,0.6975679993629456,1.0378286042653235,1.1821553190299687,1.1390660405499362,13.906604054993622,20260907-214613-5b44ff,20260907-214549-450084
nanbeige42_3b,262144,4,09,m128n256k64e32,24,2.941663980484009,2.8113280534744263,1.1213159984320415,1.1733013083448056,1.0463609811912575,4.636098119125753,20260907-214048-b4fe75,20260907-214104-b27625
nanbeige42_3b,262144,8,0a,m128n256k64e32,24,1.5532000064849854,1.3965439796447754,1.0618512971786698,1.1809634824987805,1.1121740733722234,11.21740733722234,20260907-214002-8c2549,20260907-213939-dcec96
nanbeige42_3b,524288,4,09,m128n256k64e32,24,6.081439971923828,5.836544036865234,1.0847874511814108,1.130304119182015,1.0419590657607931,4.195906576079311,20260907-220800-a8ad5b,20260907-220818-427ad0
nanbeige42_3b,524288,8,09,m128n256k64e32,24,3.1450400352478027,2.805024027824402,1.048805371747232,1.1759381918330194,1.1212167896070109,12.121678960701088,20260907-220859-690908,20260907-220836-c79b30
llama3_8b,1024,4,09,m128n256k64e32,24,0.04265600070357323,0.043216001242399216,0.30206539936878446,0.2981511828391615,0.9870418242612282,-1.2958175738771782,20260907-215549-38603d,20260907-215605-651559
llama3_8b,1024,8,09,m128n256k64e32,24,0.043088000267744064,0.04185599833726883,0.14951844838394268,0.1539194189584914,1.0294342980556326,2.943429805563258,20260907-215644-baf6d9,20260907-215621-d98313
llama3_8b,4096,4,09,m128n256k64e32,16,0.0732639990746975,0.07198399677872658,0.7034779455521116,0.7159870229271779,1.017781761964476,1.7781761964476006,20260907-214452-909370,20260907-214508-bcd909
llama3_8b,4096,8,09,m128n256k64e32,16,0.048688000068068504,0.052112000063061714,0.5292845000815888,0.4945080546671683,0.9342953640073349,-6.570463599266507,20260907-214548-493945,20260907-214524-ef3405
llama3_8b,16384,4,0a,m128n256k64e32,16,0.16900800168514252,0.16913600265979767,1.219814613228004,1.2188914658381145,0.9992432068120197,-0.07567931879802758,20260907-215227-2902f3,20260907-215240-2215b6
