models,cp,sequence,m,n,k,fused_pflops,fused_p50_ms,fused_p95_ms,cutlass_same_budget_pflops,cublaslt_full_device_historical_pflops,fused_over_cublaslt,v21_historical_pflops,comm_ctas,compute_ctas,m_window,n_group,swizzle,epilogue_n,run,candidate
representative_large,8,524288,65536,7168,16384,2.218802325955257,6.9375998973846436,7.135953450202942,2.350859192086677,2.67424411,0.8296932645970219,1.87375258484144,12,136,64,16,4,32,20260913-151054-fe920f,1
kimi_k3_kda,4,131072,32768,7168,12288,2.243360505118374,2.5731201171875,2.579699158668518,2.414437028469997,2.74689555,0.8166894096567937,1.989123412979582,20,128,64,16,4,32,20260913-151122-cfb560,1
kimi_k3_kda,4,262144,65536,7168,12288,2.2528021765584487,5.124671936035156,5.183383989334106,2.401539319290762,2.73420706,0.8239325431916809,1.932074540935971,12,136,0,0,4,32,20260913-151141-510509,1
kimi_k3_kda,4,524288,131072,7168,12288,2.30217837974331,10.029520034790039,10.285139465332032,2.422669315018114,2.71254981,0.848713771542986,1.9850903193749854,12,136,0,0,4,32,20260913-151159-0b09a3,1
kimi_k3_kda,8,131072,16384,7168,12288,2.1339685109357167,1.352512001991272,1.3573103904724122,2.4103880828487854,2.75016208,0.7759428167723543,1.8103128759143008,20,128,64,16,4,32,20260913-151217-ff8d9b,1
kimi_k3_kda,8,262144,32768,7168,12288,2.211512219223964,2.6101759672164917,2.619286394119263,2.3593781993680984,2.74689555,0.8050951261047999,1.8782655226367069,12,136,0,0,4,32,20260913-151241-f99677,1
kimi_k3_kda,8,524288,65536,7168,12288,2.1634520151277514,5.336319923400879,5.439636826515198,2.408063348993868,2.73420706,0.7912539056671704,1.8850962571127587,12,136,64,16,4,32,20260913-151304-d76ce1,1
llama31_70b / qwen25_72b,4,131072,32768,8192,8192,2.3074164509129242,1.9060479998588562,1.9188975512981414,2.491348087086506,2.77685299,0.8309465640501639,1.9566631417930676,16,132,64,16,8,32,20260913-151332-58234c,1
llama31_70b / qwen25_72b,4,262144,65536,8192,8192,2.348229804685348,3.7458399534225464,3.9875774741172787,2.5189154712993242,2.72831671,0.8606881290865047,1.9982183008993843,8,140,64,16,8,32,20260913-151348-fb6921,1
llama31_70b / qwen25_72b,4,524288,131072,8192,8192,2.3026758943968164,7.639888048171997,8.03116488456726,2.4556648073816008,2.71472286,0.848217668302545,2.0055334305555856,8,140,64,16,8,32,20260913-151404-56d1f5,1
llama31_70b / qwen25_72b,8,131072,16384,8192,8192,2.118127774321079,1.0381919741630554,1.0423455834388733,2.456240781474033,2.78882654,0.7595050261968171,1.7945234002608843,20,128,64,16,8,32,20260913-151422-a6717c,1
llama31_70b / qwen25_72b,8,262144,32768,8192,8192,2.241943009437275,1.9617120027542114,1.9895855963230134,2.5046051047647118,2.77685299,0.8073682753501743,1.8898316512016713,8,140,64,16,8,32,20260913-151445-19950d,1
llama31_70b / qwen25_72b,8,524288,65536,8192,8192,2.2707893310455107,3.8735839128494263,4.048863887786865,2.4578770691603866,2.72831671,0.8323041539578119,1.9022889373005296,8,140,0,0,8,32,20260913-151509-535b8d,1
