model,suite,aliases,global_seq,cp,m,n,k,native_max_context,beyond_native_context,result_source,launch,timing,timed_boundary,correctness_scope,self_pack_mismatches,remote_recv_mismatches,post_graph_max_abs,comm_sm,streams,push,use_ce,pack_block,pack_warps,reverse,math_sm,p50_ms,p95_ms,p50_tflops_per_gpu
representative_large,artificial,wide-K stress shape; not one specific GQA checkpoint,4096,8,512,7168,16384,,False,legacy_golden_10w50i,graph,per_sample_local_cuda_event_then_dist_max,pack+userbuffers_send_recv+all_gemm_accumulations,legacy_exact,0,0,,4,1,True,True,512,4,False,128,0.25065600872039795,0.25299201160669327,479.777384559517
representative_large,artificial,wide-K stress shape; not one specific GQA checkpoint,16384,4,4096,7168,16384,,False,legacy_golden_10w50i,graph,per_sample_local_cuda_event_then_dist_max,pack+userbuffers_send_recv+all_gemm_accumulations,legacy_exact,0,0,,12,1,True,True,512,4,False,120,1.502415955066681,1.5777375757694245,640.3504109894126
representative_large,artificial,wide-K stress shape; not one specific GQA checkpoint,16384,8,2048,7168,16384,,False,legacy_golden_10w50i,graph,per_sample_local_cuda_event_then_dist_max,pack+userbuffers_send_recv+all_gemm_accumulations,legacy_exact,0,0,,4,1,True,True,512,4,False,128,0.8546399772167206,0.871246388554573,562.8526045769307
representative_large,artificial,wide-K stress shape; not one specific GQA checkpoint,131072,4,32768,7168,16384,,False,legacy_golden_10w50i,graph,per_sample_local_cuda_event_then_dist_max,pack+userbuffers_send_recv+all_gemm_accumulations,legacy_exact,0,0,,12,1,True,True,512,4,False,120,12.467679977416992,15.839716482162475,617.3226621450825
representative_large,artificial,wide-K stress shape; not one specific GQA checkpoint,131072,8,16384,7168,16384,,False,legacy_golden_10w50i,graph,per_sample_local_cuda_event_then_dist_max,pack+userbuffers_send_recv+all_gemm_accumulations,legacy_exact,0,0,,4,1,True,True,512,4,False,128,6.242720127105713,6.303449583053588,616.4445336107302
representative_large,artificial,wide-K stress shape; not one specific GQA checkpoint,262144,4,65536,7168,16384,,False,legacy_golden_10w50i,graph,per_sample_local_cuda_event_then_dist_max,pack+userbuffers_send_recv+all_gemm_accumulations,legacy_exact,0,0,,4,1,True,True,512,4,False,128,24.551295280456543,28.789139461517333,626.979660870168
representative_large,artificial,wide-K stress shape; not one specific GQA checkpoint,262144,8,32768,7168,16384,,False,legacy_golden_10w50i,graph,per_sample_local_cuda_event_then_dist_max,pack+userbuffers_send_recv+all_gemm_accumulations,legacy_exact,0,0,,4,1,True,True,512,4,False,128,12.986944198608398,16.417628479003906,592.6399064112957
representative_large,artificial,wide-K stress shape; not one specific GQA checkpoint,524288,4,131072,7168,16384,,False,legacy_golden_10w50i,graph,per_sample_local_cuda_event_then_dist_max,pack+userbuffers_send_recv+all_gemm_accumulations,legacy_exact,0,0,,4,1,True,False,1024,4,False,128,49.46041488647461,52.5919132232666,622.4437390667096
representative_large,artificial,wide-K stress shape; not one specific GQA checkpoint,524288,8,65536,7168,16384,,False,legacy_golden_10w50i,graph,per_sample_local_cuda_event_then_dist_max,pack+userbuffers_send_recv+all_gemm_accumulations,legacy_exact,0,0,,8,1,True,False,512,4,False,124,26.156208038330078,30.978607940673825,588.5089599496382
llama3_8b,model,Llama 3/3.1 8B,1024,4,256,4096,4096,,False,legacy_golden_10w50i,graph,per_sample_local_cuda_event_then_dist_max,pack+userbuffers_send_recv+all_gemm_accumulations,legacy_exact,0,0,,16,1,True,False,512,4,False,116,0.04388799890875816,0.047515200451016426,195.72399757524184
