model,suite,aliases,global_seq,cp,m,n,k,q_heads,kv_heads,head_dim,precision,accumulator,output,quantization_in_timing,requested_comm_ctas,comm_ctas,tile_m,tile_n,tile_k,cluster_m,qkv_policy_model,launch,graph_epoch_mode,warmup,iterations,process_model,timing,correctness,fp8_graph_p50_ms,fp8_graph_p95_ms,fp8_graph_tflops_per_gpu,bf16_graph_p50_ms,fp8_speedup_over_bf16_graph,reaches_1_5x
artificial_small,artificial,OProj-matched Mx4096x4096 stress shape,4096,8,512,4096,4096,16,8,128,fp8_e4m3,fp32,fp8_e4m3,False,0,4,128,128,128,1,fp8_joint_tile_comm_signaling_wave_v4,graph,single_replay_monotonic_epoch_nodes,10,50,one_mpi_process_per_gpu,per_sample_max_rank_cuda_event,not_run,0.0464639999,0.04749120027,369.7458079583028,0.05820799991,1.2527548216958395,False
artificial_small,artificial,OProj-matched Mx4096x4096 stress shape,16384,4,4096,4096,4096,16,8,128,fp8_e4m3,fp32,fp8_e4m3,False,0,16,128,256,128,2,fp8_joint_tile_comm_signaling_wave_v4,graph,single_replay_monotonic_epoch_nodes,10,50,one_mpi_process_per_gpu,per_sample_max_rank_cuda_event,not_run,0.1271040142,0.1292943954,1081.3108802034988,0.2289119959,1.8009816396498985,True
artificial_small,artificial,OProj-matched Mx4096x4096 stress shape,16384,8,2048,4096,4096,16,8,128,fp8_e4m3,fp32,fp8_e4m3,False,0,16,128,256,128,2,fp8_joint_tile_comm_signaling_wave_v4,graph,single_replay_monotonic_epoch_nodes,10,50,one_mpi_process_per_gpu,per_sample_max_rank_cuda_event,not_run,0.1001120061,0.1011520028,686.4259284481565,0.1646080017,1.6442383697273648,True
artificial_small,artificial,OProj-matched Mx4096x4096 stress shape,131072,4,32768,4096,4096,16,8,128,fp8_e4m3,fp32,fp8_e4m3,False,0,10,128,256,128,2,fp8_joint_tile_comm_signaling_wave_v4,graph,single_replay_monotonic_epoch_nodes,10,50,one_mpi_process_per_gpu,per_sample_max_rank_cuda_event,not_run,0.8377599716,0.8735232353,1312.4423045375302,1.496608019,1.7864401137973873,True
artificial_small,artificial,OProj-matched Mx4096x4096 stress shape,131072,8,16384,4096,4096,16,8,128,fp8_e4m3,fp32,fp8_e4m3,False,0,10,128,256,128,2,fp8_joint_tile_comm_signaling_wave_v4,graph,single_replay_monotonic_epoch_nodes,10,50,one_mpi_process_per_gpu,per_sample_max_rank_cuda_event,not_run,0.499247998,0.5022383928,1101.167788534627,0.918192029,1.839150147177956,True
artificial_small,artificial,OProj-matched Mx4096x4096 stress shape,262144,4,65536,4096,4096,16,8,128,fp8_e4m3,fp32,fp8_e4m3,False,0,8,128,256,128,2,fp8_joint_tile_comm_signaling_wave_v4,graph,single_replay_monotonic_epoch_nodes,10,50,one_mpi_process_per_gpu,per_sample_max_rank_cuda_event,not_run,1.771952033,1.797844768,1241.0173721401181,3.164368153,1.7858091494963169,True
artificial_small,artificial,OProj-matched Mx4096x4096 stress shape,262144,8,32768,4096,4096,16,8,128,fp8_e4m3,fp32,fp8_e4m3,False,0,10,128,256,128,2,fp8_joint_tile_comm_signaling_wave_v4,graph,single_replay_monotonic_epoch_nodes,10,50,one_mpi_process_per_gpu,per_sample_max_rank_cuda_event,not_run,0.9573439956,0.9685360193,1148.5021401182953,1.735487938,1.8128153996644754,True
artificial_small,artificial,OProj-matched Mx4096x4096 stress shape,524288,4,131072,4096,4096,16,8,128,fp8_e4m3,fp32,fp8_e4m3,False,0,8,128,256,128,2,fp8_joint_tile_comm_signaling_wave_v4,graph,single_replay_monotonic_epoch_nodes,10,50,one_mpi_process_per_gpu,per_sample_max_rank_cuda_event,not_run,3.525887966,3.582430363,1247.3585529416112,6.34512043,1.7995808406806308,True
artificial_small,artificial,OProj-matched Mx4096x4096 stress shape,524288,8,65536,4096,4096,16,8,128,fp8_e4m3,fp32,fp8_e4m3,False,0,8,128,256,128,2,fp8_joint_tile_comm_signaling_wave_v4,graph,single_replay_monotonic_epoch_nodes,10,50,one_mpi_process_per_gpu,per_sample_max_rank_cuda_event,not_run,1.832688093,1.847380757,1199.8895305487208,3.422480106,1.8674645833474077,True
llama31_405b,model,Llama 3.1 405B,1024,4,256,18432,16384,128,8,128,fp8_e4m3,fp32,fp8_e4m3,False,0,16,128,128,128,1,fp8_joint_tile_comm_signaling_wave_v4,graph,single_replay_monotonic_epoch_nodes,10,50,one_mpi_process_per_gpu,per_sample_max_rank_cuda_event,fused_vs_separated_reference,0.1910080016,0.1932016015,809.4887196390625,0.2487680018,1.302395709688426,False
