model,suite,aliases,global_seq,cp,m,n,k,q_heads,kv_heads,head_dim,max_context,within_native_context,comm_ctas,tile_m,tile_n,tile_k,fused_p50_ms,fused_p95_ms,fused_p50_tflops_per_gpu,fused_throughput_as_best_pure_percent,cublas_p50_ms,cublaslt_p50_ms,cutlass_p50_ms,compute_subgrid_p50_ms,qkv_route_p50_ms,sequential_p50_ms,overlap_ratio
production_qwen_dense,model,current production Qwen dense,524288,4,131072,4096,2048,16,8,128,,True,32,128,256,64,3.808671951,3.848940849,577.3727125473821,76.41676903246635,2.973167896,3.154831886,2.910464048,3.427199841,2.412015915,4.991423607,0.6438976421
production_qwen_dense,model,current production Qwen dense,524288,8,65536,4096,2048,16,8,128,,True,32,128,256,64,2.364799976,2.391436815,464.949103067819,70.33491317998897,1.665696025,1.66328001,1.705440044,2.210976124,1.624095917,3.173007965,0.5914852139
nanbeige42_3b,model,Nanbeige/Nanbeige4.2-3B,1024,4,256,8192,3072,48,8,128,262144,True,24,128,128,64,0.07968000323,0.08098399639,161.70809946891114,34.23694528632865,0.02822399884,0.02727999911,0.02961600013,0.04097599909,0.02025599964,0.04476799816,-1.443245644
nanbeige42_3b,model,Nanbeige/Nanbeige4.2-3B,1024,8,128,8192,3072,48,8,128,262144,True,24,128,128,64,0.1198080033,0.1226175949,53.773126723997414,20.699786347244803,0.02558399923,0.02480000071,0.03088000044,0.03081599995,0.01868800074,0.0422720015,-3.684466349
nanbeige42_3b,model,Nanbeige/Nanbeige4.2-3B,4096,4,1024,8192,3072,48,8,128,262144,True,24,128,128,64,0.1462080032,0.1480271965,352.50879858812,48.544535864367795,0.07222399861,0.07097599655,0.08879999816,0.09977599978,0.04960000142,0.1353279948,-0.1517021296
nanbeige42_3b,model,Nanbeige/Nanbeige4.2-3B,4096,8,512,8192,3072,48,8,128,262144,True,24,128,128,64,0.15377599,0.1595887989,167.5801519860155,33.347208052440436,0.05249600112,0.05127999932,0.05140800029,0.06968000531,0.03790400177,0.08499199897,-1.699265504
nanbeige42_3b,model,Nanbeige/Nanbeige4.2-3B,16384,4,4096,8192,3072,48,8,128,262144,True,32,128,256,64,0.4037280083,0.4086351991,510.63692874834913,61.154042727830245,0.2608959973,0.2468959987,0.2648000121,0.3574559987,0.1671839952,0.4331839979,0.1728911161
nanbeige42_3b,model,Nanbeige/Nanbeige4.2-3B,16384,8,2048,8192,3072,48,8,128,262144,True,32,128,256,64,0.3413119912,0.3443728089,302.008771334372,49.37183311595295,0.1760480106,0.1685119867,0.1751520038,0.2502239943,0.1032159999,0.273728013,-0.6125832116
nanbeige42_3b,model,Nanbeige/Nanbeige4.2-3B,131072,4,32768,8192,3072,48,8,128,262144,True,32,128,256,64,2.815936089,2.908940792,585.6906511857982,77.3869831248148,2.179167986,2.316463947,2.375823975,2.644047976,1.238623977,3.244848013,0.673977548
nanbeige42_3b,model,Nanbeige/Nanbeige4.2-3B,131072,8,16384,8192,3072,48,8,128,262144,True,32,128,256,64,1.73644805,1.764096022,474.89685673694646,72.70749867812056,1.262527943,1.271888018,1.267040014,1.593423963,0.7710080147,2.009279966,0.3892045045
