models,ep,h,f,experts,topk,target_rows,copy_method,status,fused_pflops,fused_ms,reference_backend,reference_pflops,reference_ms,strong_retention_pct,matched_gemm_pflops,matched_gemm_ms,transport_ms,ideal_overlap_ms,overlap_attainment_pct,ideal_strong_retention_pct,v25_1_gain_pct,tile_n,tile_k,along_n,swizzle,comm,compute,run,case_index
mimo_v2_flash;mimo_v25,4,4096,2048,256,8,256,tma,valid,0.807277284048729,0.6809999794999999,deepgemm_m256,1.320893338812486,0.41620000475,61.11600841098117,0.9222234011407099,0.59612,0.19052000349999998,0.59612,87.53597914021671,69.81815821478897,-0.738911696252087,256,64,0,4,40,108,20260921-091730-70b6a7,11
mimo_v2_flash;mimo_v25,4,4096,2048,256,8,384,tma,valid,0.8986618958614702,0.917623997,deepgemm_m128,1.3882909670846197,0.5939919947500001,64.7315236624092,1.0040541779274825,0.82130400825,0.29096800075,0.82130400825,89.50332717268728,72.32303614536755,0.053180578493527975,256,64,0,2,40,108,20260921-091730-70b6a7,12
mimo_v2_flash;mimo_v25,4,4096,2048,256,8,512,tma,valid,0.9646531129404008,1.13980001,deepgemm_m128,1.4666099960186998,0.7496959864999999,65.77434461506978,1.05831356554698,1.0389280300000001,0.3565599995,1.0389280300000001,91.15002815274586,72.16053132188568,-0.2793487868104183,256,64,0,2,40,108,20260921-091730-70b6a7,13
mimo_v2_flash;mimo_v25,4,4096,2048,256,8,1024,tma,valid,1.043964407429216,2.1064159275,cutlass_stock,1.3855221925478514,1.587144015,75.34808269721461,1.1440518486264664,1.92213601,0.6891519875000001,1.92213601,91.25149429919509,82.57188912453704,-1.5115680423946065,256,64,0,2,40,108,20260921-091730-70b6a7,14
mimo_v2_flash;mimo_v25,4,4096,2048,256,8,2048,tma,valid,1.0986151715287222,4.00326395,deepgemm_m256,1.4081463325787735,3.1232879775,78.01853728630608,1.1996958072526143,3.66596806,1.297480015,3.66596806,91.57447787073845,85.19681367600349,-2.910422194369666,256,64,0,2,40,108,20260921-091730-70b6a7,15
mimo_v2_flash;mimo_v25,4,4096,2048,256,8,4096,tma,valid,1.0718242973608638,8.20665574,deepgemm_m256,1.4021485453517446,6.273296114999999,76.44156540432631,1.1829765580527831,7.43555987,2.545007945,7.43555987,90.60401831842893,84.3688467940478,-2.2548481788758346,256,64,0,2,40,108,20260921-091730-70b6a7,16
mimo_v2_flash;mimo_v25,4,4096,2048,256,8,8192,tma,valid,1.0209362947620022,17.231423874999997,cutlass_stock,1.2885911234568779,13.652263875,79.22887843765031,1.1026669246872463,15.954215775,5.050415995,15.954215775,92.58791316802892,85.5715133074286,-0.5115295499629524,256,64,0,2,40,108,20260921-091730-70b6a7,17
mimo_v2_flash;mimo_v25,8,4096,2048,256,8,1,cp.async,valid,0.004597127243265462,0.23356800174999998,deepgemm_m128,0.005888550320183758,0.18234400075,78.0689132859784,0.005574057249728569,0.192632005,0.024704,0.192632005,82.47362804695486,94.65924457880196,3.5587041836735667,256,64,0,4,40,108,20260921-092807-f797f6,3
mimo_v2_flash;mimo_v25,8,4096,2048,256,8,8,cp.async,valid,0.035847554555312605,0.23962400499999997,deepgemm_m128,0.04708774350616358,0.1824240015,76.12926822586077,0.045056515453650775,0.19064800075,0.0288319997,0.19064800075,79.56131137612861,95.68629137591415,0.47741272832828585,256,64,0,4,40,108,20260921-092807-f797f6,4
mimo_v2_flash;mimo_v25,8,4096,2048,256,8,16,cp.async,valid,0.06930943797898272,0.24787200250000002,deepgemm_m128,0.0942250731477747,0.18232800049999998,73.55731936687765,0.08830113729595569,0.19455999899999998,0.032912000999999996,0.19455999899999998,78.49212377263139,93.71299415970905,3.308160831919693,256,64,0,4,40,108,20260921-092807-f797f6,5
