id,m,n,k,operand_layout,p50_ms,p95_ms,pflops,algorithm,tile,split_k,workspace_bytes,sms,half_drift,run_id,source_id,library_sha256
"representative_small.oproj.dgrad.s524288.cp8",65536,4096,4096,"nn",1.5035359859466553,1.5185631930828094,1.46256775767655,66,23,1,0,148,0.002596535806251761,"20260910-144936-dacb6f","1d05d5c6ecc0f88b6fe667e3fe234908666fe1378f6f526e53449196a4d5f761","fc257ced4151346f3eab61fe5e56dbd8ba9fee301c741c7872e59d10148bfe28"
"llama3_8b.oproj.dgrad.s262144.cp4",65536,4096,4096,"nn",1.5035359859466553,1.5185631930828094,1.46256775767655,66,23,1,0,148,0.002596535806251761,"20260910-144936-dacb6f","1d05d5c6ecc0f88b6fe667e3fe234908666fe1378f6f526e53449196a4d5f761","fc257ced4151346f3eab61fe5e56dbd8ba9fee301c741c7872e59d10148bfe28"
"llama3_8b.oproj.dgrad.s524288.cp8",65536,4096,4096,"nn",1.5035359859466553,1.5185631930828094,1.46256775767655,66,23,1,0,148,0.002596535806251761,"20260910-144936-dacb6f","1d05d5c6ecc0f88b6fe667e3fe234908666fe1378f6f526e53449196a4d5f761","fc257ced4151346f3eab61fe5e56dbd8ba9fee301c741c7872e59d10148bfe28"
"artificial_small.qkv.dgrad.s524288.cp4",131072,4096,4096,"nn",2.990000009536743,3.006321597099304,1.4709185608950592,66,23,1,0,148,0.004066910619107663,"20260910-144936-dacb6f","1d05d5c6ecc0f88b6fe667e3fe234908666fe1378f6f526e53449196a4d5f761","fc257ced4151346f3eab61fe5e56dbd8ba9fee301c741c7872e59d10148bfe28"
"representative_small.oproj.dgrad.s524288.cp4",131072,4096,4096,"nn",2.990000009536743,3.006321597099304,1.4709185608950592,66,23,1,0,148,0.004066910619107663,"20260910-144936-dacb6f","1d05d5c6ecc0f88b6fe667e3fe234908666fe1378f6f526e53449196a4d5f761","fc257ced4151346f3eab61fe5e56dbd8ba9fee301c741c7872e59d10148bfe28"
"llama3_8b.oproj.dgrad.s524288.cp4",131072,4096,4096,"nn",2.990000009536743,3.006321597099304,1.4709185608950592,66,23,1,0,148,0.004066910619107663,"20260910-144936-dacb6f","1d05d5c6ecc0f88b6fe667e3fe234908666fe1378f6f526e53449196a4d5f761","fc257ced4151346f3eab61fe5e56dbd8ba9fee301c741c7872e59d10148bfe28"
"artificial_medium.qkv.dgrad.s16384.cp4",4096,5120,5120,"nn",0.15902400016784668,0.16292960047721863,1.3504148089177568,66,32,1,0,148,0.0008049160788311757,"20260910-144936-dacb6f","1d05d5c6ecc0f88b6fe667e3fe234908666fe1378f6f526e53449196a4d5f761","fc257ced4151346f3eab61fe5e56dbd8ba9fee301c741c7872e59d10148bfe28"
"representative_medium.oproj.dgrad.s16384.cp4",4096,5120,5120,"nn",0.15902400016784668,0.16292960047721863,1.3504148089177568,66,32,1,0,148,0.0008049160788311757,"20260910-144936-dacb6f","1d05d5c6ecc0f88b6fe667e3fe234908666fe1378f6f526e53449196a4d5f761","fc257ced4151346f3eab61fe5e56dbd8ba9fee301c741c7872e59d10148bfe28"
"qwen25_14b_32b.oproj.dgrad.s16384.cp4",4096,5120,5120,"nn",0.15902400016784668,0.16292960047721863,1.3504148089177568,66,32,1,0,148,0.0008049160788311757,"20260910-144936-dacb6f","1d05d5c6ecc0f88b6fe667e3fe234908666fe1378f6f526e53449196a4d5f761","fc257ced4151346f3eab61fe5e56dbd8ba9fee301c741c7872e59d10148bfe28"
"artificial_medium.qkv.dgrad.s16384.cp8",2048,5120,5120,"nn",0.08724800124764442,0.0891232006251812,1.2306778477965301,66,32,1,0,148,0.01797180985836442,"20260910-144936-dacb6f","1d05d5c6ecc0f88b6fe667e3fe234908666fe1378f6f526e53449196a4d5f761","fc257ced4151346f3eab61fe5e56dbd8ba9fee301c741c7872e59d10148bfe28"
