model,sequence,cp,m,n,k,comm_ctas,compute_ctas,m_window_tiles,n_group_tiles,swizzle,fused_pflops,compute_pflops,cublaslt_pflops,fused_over_compute,fused_over_cublaslt,run_id,candidate_id
llama31_405b,262144,4,65536,16384,16384,48,100,64,4,8,1.9887866619864847,2.1040728151046797,2.69672219,0.9452080972243067,0.7374829596319985,20260912-214526-d25ec8,3
llama31_405b,524288,4,131072,16384,16384,20,128,64,4,8,1.9971005073649233,2.3068657437232627,2.69102792,0.865720301581842,0.7421329568980924,20260912-215153-f1a765,1
llama31_405b,131072,8,16384,16384,16384,48,100,64,4,8,1.9034086494298725,2.1294993048710307,2.72299233,0.89382919500185,0.6990135919442243,20260912-213911-62732b,3
llama31_405b,262144,8,32768,16384,16384,48,100,64,4,8,1.9125700711248668,2.10232877982488,2.69677847,0.9097388046431919,0.7092054806878025,20260912-214422-b58117,3
llama31_405b,524288,8,65536,16384,16384,32,116,64,4,8,1.9648644799041224,2.258651659027216,2.69672219,0.8699280706040233,0.7286121229655185,20260912-215033-12fa1b,2
llama31_70b,131072,4,32768,8192,8192,48,100,64,4,8,1.9566631417930676,2.0999397198071623,2.77685299,0.9317710995879197,0.7046333201071143,20260912-213741-b23aaf,3
qwen25_72b,131072,4,32768,8192,8192,48,100,64,4,8,1.9566631417930676,2.0999397198071623,2.77685299,0.9317710995879197,0.7046333201071143,20260912-213741-b23aaf,3
llama31_70b,262144,4,65536,8192,8192,32,116,64,4,8,1.9982183008993843,2.2318221178745032,2.72831671,0.8953304499027038,0.7323996857019522,20260912-214242-7cf7ae,2
qwen25_72b,262144,4,65536,8192,8192,32,116,64,4,8,1.9982183008993843,2.2318221178745032,2.72831671,0.8953304499027038,0.7323996857019522,20260912-214242-7cf7ae,2
llama31_70b,524288,4,131072,8192,8192,20,128,64,4,8,2.0055334305555856,2.3428608698875366,2.71472286,0.8560190049406803,0.7387617572703482,20260912-214826-cdbca4,1
qwen25_72b,524288,4,131072,8192,8192,20,128,64,4,8,2.0055334305555856,2.3428608698875366,2.71472286,0.8560190049406803,0.7387617572703482,20260912-214826-cdbca4,1
llama31_70b,131072,8,16384,8192,8192,32,116,64,4,8,1.7945234002608843,2.211407147493601,2.78882654,0.8114848513060063,0.6434689911767995,20260912-213614-8edec3,2
qwen25_72b,131072,8,16384,8192,8192,32,116,64,4,8,1.7945234002608843,2.211407147493601,2.78882654,0.8114848513060063,0.6434689911767995,20260912-213614-8edec3,2
llama31_70b,262144,8,32768,8192,8192,32,116,64,4,8,1.8898316512016713,2.2189763268869878,2.77685299,0.85166823471836,0.6805659709056731,20260912-214114-b3952e,2
qwen25_72b,262144,8,32768,8192,8192,32,116,64,4,8,1.8898316512016713,2.2189763268869878,2.77685299,0.85166823471836,0.6805659709056731,20260912-214114-b3952e,2
llama31_70b,524288,8,65536,8192,8192,20,128,64,4,8,1.9022889373005296,2.381503601912414,2.72831671,0.7987764266965367,0.6972390449862874,20260912-214654-b3040b,1
qwen25_72b,524288,8,65536,8192,8192,20,128,64,4,8,1.9022889373005296,2.381503601912414,2.72831671,0.7987764266965367,0.6972390449862874,20260912-214654-b3040b,1
qwen3_235b,131072,4,32768,4096,8192,32,116,64,4,2,1.866692323328463,2.2363069320457067,2.81003793,0.8347209842169869,0.6642943511187633,20260912-213556-724171,2
qwen3_235b,262144,4,65536,4096,8192,48,100,64,4,8,1.9235009175998867,2.123314409330046,2.72426067,0.9058954760292872,0.7060634611003971,20260912-214056-ded403,3
qwen3_235b,524288,4,131072,4096,8192,32,116,64,4,8,1.940193734267345,2.2129025541564253,2.69432669,0.8767641985062289,0.7201033718250941,20260912-214630-9e7b36,2
qwen3_235b,131072,8,16384,4096,8192,48,100,64,4,8,1.6136636151561001,2.192848148146862,2.61161691,0.7358756768086195,0.6178791418363501,20260912-213532-f32eec,2
qwen3_235b,262144,8,32768,4096,8192,32,116,64,4,2,1.8724397871324594,2.2656889126427124,2.81003793,0.8264328684684408,0.6663396842947452,20260912-214027-b32178,1
qwen3_235b,524288,8,65536,4096,8192,32,116,64,4,8,1.8775043546409897,2.2168645771274917,2.72426067,0.8469188303210524,0.6891794075788605,20260912-214600-36bd87,1
representative_large,131072,4,32768,7168,16384,48,100,64,4,4,1.9508169060509122,2.1112345368872982,2.67212724,0.9240171435084147,0.7300613821259919,20260912-213847-eda68b,3
representative_large,262144,4,65536,7168,16384,48,100,64,4,4,1.9502198015455061,2.0398367178478316,2.67424411,0.9560666226280712,0.7292602026318031,20260912-214359-96aaf4,3
representative_large,524288,4,131072,7168,16384,20,128,64,4,4,1.9830334866387196,2.3467448441642116,2.67130733,0.8450145279194053,0.7423456913281182,20260912-214959-f1947e,1
representative_large,131072,8,16384,7168,16384,48,100,64,4,4,1.8241249621403157,2.0920808389211154,2.67150397,0.8719189661337444,0.6828082543108913,20260912-213712-7aeab7,3
representative_large,262144,8,32768,7168,16384,48,100,64,4,4,1.882187589111285,2.0896725080147682,2.67212724,0.9007093608650677,0.7043779805602689,20260912-214213-79f538,3
representative_large,524288,8,65536,7168,16384,48,100,64,4,4,1.87375258484144,2.0459445535608562,2.67424411,0.9158374216839232,0.7006662472714356,20260912-214752-79315f,3
